时间,电力负荷(kW),热力负荷(kW),光照强度(W/m²),风速(m/s)
2024-01-01 00:00,0.0,0.0,0.0,0.0
2024-01-01 01:00,0.0,0.0,0.0,0.0
2024-01-01 02:00,0.0,0.0,0.0,0.0
2024-01-01 03:00,0.0,0.0,0.0,0.0
2024-01-01 04:00,0.0,0.0,0.0,0.0
2024-01-01 05:00,0.0,0.0,0.0,0.0
2024-01-01 06:00,0.0,0.0,0.0,0.0
2024-01-01 07:00,0.0,0.0,0.0,0.0
2024-01-01 08:00,0.0,0.0,0.0,0.0
2024-01-01 09:00,0.0,0.0,0.0,0.0
2024-01-01 10:00,0.0,0.0,0.0,0.0
2024-01-01 11:00,0.0,0.0,0.0,0.0
2024-01-01 12:00,0.0,0.0,0.0,0.0
2024-01-01 13:00,0.0,0.0,0.0,0.0
2024-01-01 14:00,0.0,0.0,0.0,0.0
2024-01-01 15:00,0.0,0.0,0.0,0.0
2024-01-01 16:00,0.0,0.0,0.0,0.0
2024-01-01 17:00,0.0,0.0,0.0,0.0
2024-01-01 18:00,0.0,0.0,0.0,0.0
2024-01-01 19:00,0.0,0.0,0.0,0.0
2024-01-01 20:00,0.0,0.0,0.0,0.0
2024-01-01 21:00,0.0,0.0,0.0,0.0
2024-01-01 22:00,0.0,0.0,0.0,0.0
2024-01-01 23:00,0.0,0.0,0.0,0.0
...,...,...,...,...
2024-12-31 00:00,0.0,0.0,0.0,0.0
2024-12-31 01:00,0.0,0.0,0.0,0.0
2024-12-31 02:00,0.0,0.0,0.0,0.0
2024-12-31 03:00,0.0,0.0,0.0,0.0
2024-12-31 04:00,0.0,0.0,0.0,0.0
2024-12-31 05:00,0.0,0.0,0.0,0.0
2024-12-31 06:00,0.0,0.0,0.0,0.0
2024-12-31 07:00,0.0,0.0,0.0,0.0
2024-12-31 08:00,0.0,0.0,0.0,0.0
2024-12-31 09:00,0.0,0.0,0.0,0.0
2024-12-31 10:00,0.0,0.0,0.0,0.0
2024-12-31 11:00,0.0,0.0,0.0,0.0
2024-12-31 12:00,0.0,0.0,0.0,0.0
2024-12-31 13:00,0.0,0.0,0.0,0.0
2024-12-31 14:00,0.0,0.0,0.0,0.0
2024-12-31 15:00,0.0,0.0,0.0,0.0
2024-12-31 16:00,0.0,0.0,0.0,0.0
2024-12-31 17:00,0.0,0.0,0.0,0.0
2024-12-31 18:00,0.0,0.0,0.0,0.0
2024-12-31 19:00,0.0,0.0,0.0,0.0
2024-12-31 20:00,0.0,0.0,0.0,0.0
2024-12-31 21:00,0.0,0.0,0.0,0.0
2024-12-31 22:00,0.0,0.0,0.0,0.0
2024-12-31 23:00,0.0,0.0,0.0,0.0